Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
rundeck,com.dtolabs.launcher,Preferences,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: JAVA_HOME; ENV_JAVA_HOME; SYSTEM_RDECK_BASE; RUNDECK_DEFAULTS_PROPERTIES_NAME
rundeck,com.dtolabs.launcher,Preferences,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Setup; Parameters; Preferences
rundeck,com.dtolabs.launcher,Setup,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; RDECK_BASE; SETUP_USAGE; FORCE_FLAG; parameters; TEMPLATE_RESOURCES_PATH; templates; restrictedPermTemplates; forceFlag; debugFlag; serverHostname; serverName; baseDir; properties
rundeck,com.dtolabs.launcher,Setup,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CLIToolLogger
rundeck,com.dtolabs.launcher,Setup,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
rundeck,com.dtolabs.shared.resources,ResourceXMLConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DTD_PROJECT_DOCUMENT_1_0_EN; PROJECT_DTD_RESOURCE_PATH; COMMON_DESCRIPTION; COMMON_NAME; COMMON_TAGS; BEAN_NAME; commonProps; NODE_HOSTNAME; NODE_OS_ARCH; NODE_OS_FAMILY; NODE_OS_NAME; NODE_OS_VERSION; NODE_USERNAME; NODE_EDIT_URL; NODE_REMOTE_URL; nodeProps; _nodePropSet; nodePropSet; _allPropSet; allPropSet; NODE_ENTITY_TAG; ATTRIBUTE_TAG; ATTRIBUTE_NAME_ATTR; ATTRIBUTE_VALUE_ATTR
rundeck,com.dtolabs.shared.resources,ResourceXMLConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DTD_PROJECT_DOCUMENT_1_0_EN; PROJECT_DTD_RESOURCE_PATH; COMMON_DESCRIPTION; COMMON_NAME; COMMON_TAGS; BEAN_NAME; commonProps; NODE_HOSTNAME; NODE_OS_ARCH; NODE_OS_FAMILY; NODE_OS_NAME; NODE_OS_VERSION; NODE_USERNAME; NODE_EDIT_URL; NODE_REMOTE_URL; nodeProps; _nodePropSet; nodePropSet; _allPropSet; allPropSet; NODE_ENTITY_TAG; ATTRIBUTE_TAG; ATTRIBUTE_NAME_ATTR; ATTRIBUTE_VALUE_ATTR
rundeck,com.dtolabs.shared.resources,ResourceXMLReceiver,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ResourceXMLParser; ResourceXMLReceiver
rundeck,com.dtolabs.shared.resources,ResourceXMLParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log4j; file; input; doc; receiver; DEFAULT_ENTITY_XPATH; entityXpath; entityProperties; entcache; set; properties; name; resourceType
rundeck,com.dtolabs.shared.resources,EntitySet,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Entity; EntitySet
rundeck,com.dtolabs.shared.resources,TestResourceXMLGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rundeck,com.dtolabs.shared.resources,TestResourceXMLParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rundeck,com.dtolabs.rundeck.core.cli,CLIUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: stringContainsWhitespacePredicate; stringContainsQuotePredicate; UNIX_ARGUMENT_QUOTE; UNIX_SHELL_ESCAPE; UNIX_SHELL_CHARS; UNIX_SHELL_CHARS_NO_QUOTES; WS_CHARS
