Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
rundeck,com.dtolabs.launcher,Preferences,generate,72,12,3,49,0
rundeck,com.dtolabs.launcher,Preferences,loadDefaults,11,2,2,159,0
rundeck,com.dtolabs.launcher,Preferences,loadResourcesDefaults,15,3,2,170,0
rundeck,com.dtolabs.launcher,Preferences,parseNonReqOptionsAsProperties,14,4,2,186,0
rundeck,com.dtolabs.launcher,Preferences,convert2PropName,16,6,1,225,0
rundeck,com.dtolabs.launcher,Preferences,forwardSlashPath,6,2,1,276,0
rundeck,com.dtolabs.launcher,Preferences,backSlashPath,6,2,1,283,0
rundeck,com.dtolabs.launcher,Setup,Setup,2,1,0,53,0
rundeck,com.dtolabs.launcher,Setup,main,12,1,1,60,0
rundeck,com.dtolabs.launcher,Setup,execute,4,1,1,93,0
rundeck,com.dtolabs.launcher,Setup,performSetup,3,1,0,104,0
rundeck,com.dtolabs.launcher,Setup,performSetup,12,3,1,107,0
rundeck,com.dtolabs.launcher,Setup,newImpl,71,10,1,121,0
rundeck,com.dtolabs.launcher,Setup,getTemplateFile,15,2,1,209,0
rundeck,com.dtolabs.launcher,Setup,copyToNativeLineEndings,18,2,2,230,0
rundeck,com.dtolabs.launcher,Setup,validateInstall,8,3,0,249,0
rundeck,com.dtolabs.launcher,Setup,checkIfDir,6,2,2,263,0
rundeck,com.dtolabs.launcher,Setup,generatePreferences,15,3,2,272,0
rundeck,com.dtolabs.launcher,Setup,printUsage,3,1,0,290,0
rundeck,com.dtolabs.launcher,Setup,usageError,4,1,1,295,0
rundeck,com.dtolabs.launcher,Setup,log,3,1,1,300,0
rundeck,com.dtolabs.launcher,Setup,error,3,1,1,304,0
rundeck,com.dtolabs.launcher,Setup,warn,3,1,1,308,0
rundeck,com.dtolabs.launcher,Setup,verbose,3,1,1,314,0
rundeck,com.dtolabs.launcher,Setup,debug,3,1,1,319,0
rundeck,com.dtolabs.launcher,Setup,getParameters,3,1,0,325,0
rundeck,com.dtolabs.launcher,Setup,Parameters,3,1,0,342,0
rundeck,com.dtolabs.launcher,Setup,getForceFlag,3,1,0,346,0
rundeck,com.dtolabs.launcher,Setup,getDebugFlag,3,1,0,350,0
rundeck,com.dtolabs.launcher,Setup,getNodeArg,3,1,0,354,0
rundeck,com.dtolabs.launcher,Setup,getOptParam,5,3,2,358,0
rundeck,com.dtolabs.launcher,Setup,parse,25,7,1,376,0
rundeck,com.dtolabs.launcher,Setup,validate,14,4,0,403,0
rundeck,com.dtolabs.launcher,Setup,getNodeHostnameArg,3,1,0,419,0
rundeck,com.dtolabs.launcher,Setup,getServerHostname,3,1,0,423,0
rundeck,com.dtolabs.launcher,Setup,getProperties,3,1,0,427,0
rundeck,com.dtolabs.launcher,Setup,setServerHostname,3,1,1,432,0
rundeck,com.dtolabs.launcher,Setup,getServerName,3,1,0,436,0
