Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
ontrack,net.nemerosa.ontrack.boot.resource,Link,Link,3,1,2,25,0
ontrack,net.nemerosa.ontrack.boot.resource,Link,with,3,1,1,29,0
ontrack,net.nemerosa.ontrack.boot,Application,main,3,1,1,11,0
ontrack,net.nemerosa.ontrack.boot.support,DevSettings,getTarget,3,1,0,13,0
ontrack,net.nemerosa.ontrack.boot.support,DevSettings,setTarget,3,1,1,17,0
ontrack,net.nemerosa.ontrack.boot.support,DevSettings,getStaticDir,3,1,0,21,0
ontrack,net.nemerosa.ontrack.boot.support,DevSettings,setStaticDir,3,1,1,25,0
ontrack,net.nemerosa.ontrack.boot.support,DevWebConfig,addResourceHandlers,9,1,1,21,0
ontrack,net.nemerosa.ontrack.boot.support,UIException,UIException,3,1,2,5,0
ontrack,net.nemerosa.ontrack.test,TestUtils,TestUtils,2,1,0,18,0
ontrack,net.nemerosa.ontrack.test,TestUtils,uid,3,1,1,21,0
ontrack,net.nemerosa.ontrack.test,TestUtils,getEnvIfPresent,11,3,3,25,0
ontrack,net.nemerosa.ontrack.test,TestUtils,getEnv,9,2,3,40,0
ontrack,net.nemerosa.ontrack.test,TestUtils,assertJsonWrite,3,1,2,56,0
ontrack,net.nemerosa.ontrack.test,TestUtils,assertJsonRead,3,1,3,63,0
ontrack,net.nemerosa.ontrack.service,DefaultStructureFactory,newProject,3,1,1,9,0
ontrack,net.nemerosa.ontrack.service,DefaultStructureFactory,newBranch,3,1,2,15,0
ontrack,net.nemerosa.ontrack.service,DefaultStructureFactory,newPromotionLevel,3,1,2,21,0
ontrack,net.nemerosa.ontrack.service,DefaultStructureFactory,newValidationStamp,3,1,2,27,0
ontrack,net.nemerosa.ontrack.service,DefaultStructureFactory,newBuild,3,1,2,33,0
ontrack,net.nemerosa.ontrack.service,DefaultStructureFactory,newPromotionRun,3,1,4,39,0
ontrack,net.nemerosa.ontrack.service,DefaultStructureFactory,newValidationRun,3,1,5,45,0
ontrack,net.nemerosa.ontrack.service,ProjectService,getProject,0,1,1,10,0
ontrack,net.nemerosa.ontrack.it,AbstractITTestSupport,nameDescription,4,1,0,29,0
ontrack,net.nemerosa.ontrack.model.structure,ID,of,4,1,1,17,0
ontrack,net.nemerosa.ontrack.model.structure,ID,toString,3,1,0,24,0
ontrack,net.nemerosa.ontrack.model.structure,ID,isSet,3,1,0,29,0
ontrack,net.nemerosa.ontrack.model.structure,StructureFactory,newProject,0,1,1,5,0
ontrack,net.nemerosa.ontrack.model.structure,StructureFactory,newBranch,0,1,2,7,0
ontrack,net.nemerosa.ontrack.model.structure,StructureFactory,newPromotionLevel,0,1,2,9,0
ontrack,net.nemerosa.ontrack.model.structure,StructureFactory,newValidationStamp,0,1,2,11,0
ontrack,net.nemerosa.ontrack.model.structure,StructureFactory,newBuild,0,1,2,14,0
ontrack,net.nemerosa.ontrack.model.structure,StructureFactory,newPromotionRun,0,1,4,17,0
ontrack,net.nemerosa.ontrack.model.structure,StructureFactory,newValidationRun,0,1,5,20,0
ontrack,net.nemerosa.ontrack.model.structure,IDTest,none,7,1,0,12,1
ontrack,net.nemerosa.ontrack.model.structure,IDTest,set,7,1,0,21,1
ontrack,net.nemerosa.ontrack.model.structure,IDTest,not_null,3,1,0,30,0
ontrack,net.nemerosa.ontrack.model.structure,IDTest,not_empty,3,1,0,35,0
ontrack,net.nemerosa.ontrack.model.structure,IDTest,not_blank,3,1,0,40,0
ontrack,net.nemerosa.ontrack.model.structure,IDTest,set_to_json,3,1,0,45,1
ontrack,net.nemerosa.ontrack.model.structure,IDTest,unset_to_json,3,1,0,53,1
ontrack,net.nemerosa.ontrack.model.support,IDJsonSerializer,serialize,13,3,3,11,0
ontrack,net.nemerosa.ontrack.json,JDKLocalTimeDeserializer,deserialize,9,2,2,14,0
ontrack,net.nemerosa.ontrack.json,JDKYearMonthSerializer,serialize,6,1,3,15,0
ontrack,net.nemerosa.ontrack.json,ArrayBuilder,ArrayBuilder,4,1,1,12,0
ontrack,net.nemerosa.ontrack.json,ArrayBuilder,with,4,1,1,17,0
ontrack,net.nemerosa.ontrack.json,ArrayBuilder,end,3,1,0,22,0
ontrack,net.nemerosa.ontrack.json,ObjectMapperFactory,create,7,1,0,17,0
ontrack,net.nemerosa.ontrack.json,ObjectMapperFactory,jdkTime,10,1,1,28,0
ontrack,net.nemerosa.ontrack.json,ObjectMapperFactory,ObjectMapperFactory,2,1,0,46,0
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeDeserializer,deserialize,14,2,2,17,0
ontrack,net.nemerosa.ontrack.json,JsonBuilder,end,0,1,0,7,0
ontrack,net.nemerosa.ontrack.json,ProxyAnnotation,of,3,1,2,11,0
ontrack,net.nemerosa.ontrack.json,ProxyAnnotation,AnnotationInvocationHandler,4,1,2,25,0
ontrack,net.nemerosa.ontrack.json,ProxyAnnotation,invoke,10,3,3,31,0
ontrack,net.nemerosa.ontrack.json,ProxyAnnotation,ProxyAnnotation,2,1,0,47,0
ontrack,net.nemerosa.ontrack.json,AnnotationInvocationHandler,AnnotationInvocationHandler,4,1,2,25,0
ontrack,net.nemerosa.ontrack.json,AnnotationInvocationHandler,invoke,10,3,3,31,0
ontrack,net.nemerosa.ontrack.json,JDKLocalTimeSerializer,serialize,8,2,3,12,0
ontrack,net.nemerosa.ontrack.json,ConstructorPropertiesAnnotationIntrospector,hasCreatorAnnotation,17,4,1,23,0
ontrack,net.nemerosa.ontrack.json,JsonUtils,JsonUtils,2,1,0,14,0
ontrack,net.nemerosa.ontrack.json,JsonUtils,object,3,1,0,17,0
ontrack,net.nemerosa.ontrack.json,JsonUtils,array,3,1,0,21,0
ontrack,net.nemerosa.ontrack.json,JsonUtils,toMap,15,3,1,25,0
ontrack,net.nemerosa.ontrack.json,JsonUtils,toObject,0,9,1,40,0
ontrack,net.nemerosa.ontrack.json,JsonUtils,text,3,1,1,65,0
ontrack,net.nemerosa.ontrack.json,JDKYearMonthDeserializer,deserialize,6,1,2,13,0
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializer,serialize,8,2,3,12,0
ontrack,net.nemerosa.ontrack.json,ObjectBuilder,ObjectBuilder,4,1,1,12,0
ontrack,net.nemerosa.ontrack.json,ObjectBuilder,with,3,1,2,17,0
ontrack,net.nemerosa.ontrack.json,ObjectBuilder,with,3,1,2,21,0
ontrack,net.nemerosa.ontrack.json,ObjectBuilder,with,4,1,2,25,0
ontrack,net.nemerosa.ontrack.json,ObjectBuilder,with,3,1,2,30,0
ontrack,net.nemerosa.ontrack.json,ObjectBuilder,end,3,1,0,34,0
ontrack,net.nemerosa.ontrack.json,ConstructorPropertiesAnnotationIntrospectorTest,testJacksonUnableToDeserialize,5,1,0,23,0
ontrack,net.nemerosa.ontrack.json,ConstructorPropertiesAnnotationIntrospectorTest,testJacksonAbleToDeserialize,6,1,0,30,1
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,toJson,3,1,0,14,1
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,toJson_null,3,1,0,22,1
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,fromJson_null,3,1,0,30,1
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,fromJson_blank,3,1,0,37,1
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,fromJson_with_zone,3,1,0,44,1
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,fromJson_without_zone,3,1,0,52,1
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,fromJson_without_millis,3,1,0,60,1
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,fromJson_without_seconds,3,1,0,68,1
ontrack,net.nemerosa.ontrack.json,JDKLocalTimeSerializerTest,toJson,3,1,0,14,1
ontrack,net.nemerosa.ontrack.json,JDKLocalTimeSerializerTest,toJson_null,3,1,0,22,1
ontrack,net.nemerosa.ontrack.json,JDKLocalTimeSerializerTest,fromJson,3,1,0,30,1
ontrack,net.nemerosa.ontrack.json,JDKLocalTimeSerializerTest,fromJson_null,3,1,0,38,1
ontrack,net.nemerosa.ontrack.json,JDKLocalTimeSerializerTest,fromJson_blank,3,1,0,45,1
ontrack,net.nemerosa.ontrack.json,JDKLocalTimeSerializerTest,fromJson_none,3,1,0,52,1
