Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
calrissian_flowmix,org.calrissian.flowmix.example,SwitchExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.calrissian.flowmix.api.builder.FlowBuilder
calrissian_flowmix,org.calrissian.flowmix.example,SwitchExample,Law of Demeter violation,The tool detected the smell in this method (getFlows) because the method voilates the law of Demeter. The long chain of method invocations is : org.calrissian.flowmix.api.builder.FlowBuilder.id; org.calrissian.flowmix.api.builder.FlowBuilder.flowDefs; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.filter; org.calrissian.flowmix.api.builder.FilterBuilder.filter; org.calrissian.flowmix.api.builder.FilterBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.select; org.calrissian.flowmix.api.builder.SelectBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.partition; org.calrissian.flowmix.api.builder.PartitionBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.stopGate; org.calrissian.flowmix.api.builder.SwitchBuilder.open; org.calrissian.flowmix.api.builder.SwitchBuilder.evict; org.calrissian.flowmix.api.builder.SwitchBuilder.close; org.calrissian.flowmix.api.builder.SwitchBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.endStream; org.calrissian.flowmix.api.builder.FlowDefsBuilder.endDefs; org.calrissian.flowmix.api.builder.FlowBuilder.createFlow
calrissian_flowmix,org.calrissian.flowmix.example,SplitExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.calrissian.flowmix.api.builder.FlowBuilder
calrissian_flowmix,org.calrissian.flowmix.example,SplitExample,Law of Demeter violation,The tool detected the smell in this method (getFlows) because the method voilates the law of Demeter. The long chain of method invocations is : org.calrissian.flowmix.api.builder.FlowBuilder.id; org.calrissian.flowmix.api.builder.FlowBuilder.flowDefs; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.split; org.calrissian.flowmix.api.builder.SplitBuilder.all; org.calrissian.flowmix.api.builder.SplitBuilder.defaultPath; org.calrissian.flowmix.api.builder.SplitBuilder.path; org.calrissian.flowmix.api.builder.SplitBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.endStream; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.each; org.calrissian.flowmix.api.builder.EachBuilder.function; org.calrissian.flowmix.api.builder.EachBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.endStream; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.each; org.calrissian.flowmix.api.builder.EachBuilder.function; org.calrissian.flowmix.api.builder.EachBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.endStream; org.calrissian.flowmix.api.builder.FlowDefsBuilder.endDefs; org.calrissian.flowmix.api.builder.FlowBuilder.createFlow
calrissian_flowmix,org.calrissian.flowmix.example,JoinExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.calrissian.flowmix.api.builder.FlowBuilder
calrissian_flowmix,org.calrissian.flowmix.example,JoinExample,Law of Demeter violation,The tool detected the smell in this method (getFlows) because the method voilates the law of Demeter. The long chain of method invocations is : org.calrissian.flowmix.api.builder.FlowBuilder.id; org.calrissian.flowmix.api.builder.FlowBuilder.flowDefs; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.each; org.calrissian.flowmix.api.builder.EachBuilder.function; org.calrissian.flowmix.api.builder.EachBuilder.end; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.each; org.calrissian.flowmix.api.builder.EachBuilder.function; org.calrissian.flowmix.api.builder.EachBuilder.end; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.join; org.calrissian.flowmix.api.builder.JoinBuilder.evict; org.calrissian.flowmix.api.builder.JoinBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.endStream; org.calrissian.flowmix.api.builder.FlowDefsBuilder.endDefs; org.calrissian.flowmix.api.builder.FlowBuilder.createFlow
calrissian_flowmix,org.calrissian.flowmix.example,SortExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.calrissian.flowmix.api.builder.FlowBuilder
calrissian_flowmix,org.calrissian.flowmix.example,SortExample,Law of Demeter violation,The tool detected the smell in this method (getFlows) because the method voilates the law of Demeter. The long chain of method invocations is : org.calrissian.flowmix.api.builder.FlowBuilder.id; org.calrissian.flowmix.api.builder.FlowBuilder.flowDefs; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.each; org.calrissian.flowmix.api.builder.EachBuilder.function; org.calrissian.flowmix.api.builder.EachBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.partition; org.calrissian.flowmix.api.builder.PartitionBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.sort; org.calrissian.flowmix.api.builder.SortBuilder.sortBy; org.calrissian.flowmix.api.builder.SortBuilder.tumbling; org.calrissian.flowmix.api.builder.SortBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.endStream; org.calrissian.flowmix.api.builder.FlowDefsBuilder.endDefs; org.calrissian.flowmix.api.builder.FlowBuilder.createFlow
calrissian_flowmix,org.calrissian.flowmix.example,StreamBridgeExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.calrissian.flowmix.api.builder.FlowBuilder
calrissian_flowmix,org.calrissian.flowmix.example,StreamBridgeExample,Law of Demeter violation,The tool detected the smell in this method (getFlows) because the method voilates the law of Demeter. The long chain of method invocations is : org.calrissian.flowmix.api.builder.FlowBuilder.id; org.calrissian.flowmix.api.builder.FlowBuilder.flowDefs; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.filter; org.calrissian.flowmix.api.builder.FilterBuilder.filter; org.calrissian.flowmix.api.builder.FilterBuilder.end; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.filter; org.calrissian.flowmix.api.builder.FilterBuilder.filter; org.calrissian.flowmix.api.builder.FilterBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.select; org.calrissian.flowmix.api.builder.SelectBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.each; org.calrissian.flowmix.api.builder.EachBuilder.function; org.calrissian.flowmix.api.builder.EachBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.endStream; org.calrissian.flowmix.api.builder.FlowDefsBuilder.endDefs; org.calrissian.flowmix.api.builder.FlowBuilder.createFlow
calrissian_flowmix,org.calrissian.flowmix.example,AggregatorExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.calrissian.flowmix.api.builder.FlowBuilder
calrissian_flowmix,org.calrissian.flowmix.example,AggregatorExample,Law of Demeter violation,The tool detected the smell in this method (getFlows) because the method voilates the law of Demeter. The long chain of method invocations is : org.calrissian.flowmix.api.builder.FlowBuilder.id; org.calrissian.flowmix.api.builder.FlowBuilder.flowDefs; org.calrissian.flowmix.api.builder.FlowDefsBuilder.stream; org.calrissian.flowmix.api.builder.StreamBuilder.select; org.calrissian.flowmix.api.builder.SelectBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.partition; org.calrissian.flowmix.api.builder.PartitionBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.aggregate; org.calrissian.flowmix.api.builder.AggregateBuilder.aggregator; org.calrissian.flowmix.api.builder.AggregateBuilder.evict; org.calrissian.flowmix.api.builder.AggregateBuilder.trigger; org.calrissian.flowmix.api.builder.AggregateBuilder.clearOnTrigger; org.calrissian.flowmix.api.builder.AggregateBuilder.end; org.calrissian.flowmix.api.builder.StreamBuilder.endStream; org.calrissian.flowmix.api.builder.FlowDefsBuilder.endDefs; org.calrissian.flowmix.api.builder.FlowBuilder.createFlow
calrissian_flowmix,org.calrissian.flowmix.example.support,ExampleRunner,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.calrissian.flowmix.api.builder.FlowmixBuilder
calrissian_flowmix,org.calrissian.flowmix.example.support,ExampleRunner,Law of Demeter violation,The tool detected the smell in this method (run) because the method voilates the law of Demeter. The long chain of method invocations is : org.calrissian.flowmix.api.builder.FlowmixBuilder.setFlowLoader; org.calrissian.flowmix.api.builder.FlowmixBuilder.setOutputBolt
calrissian_flowmix,org.calrissian.flowmix.core,Constants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FLOW_ID; EVENT; FLOW_OP_IDX; OUTPUT; PARTITION; STREAM_NAME; LAST_STREAM; INITIALIZER; BROADCAST_STREAM; FLOW_LOADER_STREAM
calrissian_flowmix,org.calrissian.flowmix.core.model.op,PartitionOp,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARTITION
calrissian_flowmix,org.calrissian.flowmix.core.model.op,SplitOp,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SPLIT
