Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,setUp,5,1,0,13,0,,
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,testWatchFaceTimeSecondChanged,5,1,0,22,0,,
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,testWatchFaceTimeSecondChangedThrowsException,8,1,0,29,0,,
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,testWatchFaceTimeMinuteChanged,5,1,0,38,0,,
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,testWatchFaceTimeMinuteChangedThrowsException,8,1,0,45,0,,
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,testWatchFaceTimeHourChanged,5,1,0,54,0,,
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,testWatchFaceTimeHourChangedThrowsException,8,1,0,61,0,,
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,testWatchFaceTimeDateChanged,6,1,0,70,0,,
ustwo_Clockwise,com.ustwo.clockwise,WatchFaceTimeTest,testWatchFaceTimeTimeZoneChanged,6,1,0,77,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,setUp,4,1,0,13,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,testPointOnCircleHourNine,4,1,0,21,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,testPointOnCircleHourTwelve,4,1,0,28,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,testDistanceInBetweenPointPoints,5,1,0,35,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,testPointOnCircleThrowsNullPointerException,8,1,0,43,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,testPointOnCircleThrowsIllegalArgumentException,8,1,0,52,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,testGetLineIntersectionWithYThrowsNullPointerException,8,1,0,61,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,testGetLineIntersectionWithXThrowsNullPointerException,8,1,0,70,0,,
ustwo_Clockwise,com.ustwo.clockwise,GeometryUtilTest,testGetDistanceBetweenPointsThrowsNullPointerException,8,1,0,79,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testSecondDegreesWithTime,7,1,0,10,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testSecondDegreesWithSeconds,4,1,0,20,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testNegativeSecondDegrees,4,1,0,26,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testHighSecondDegrees,4,1,0,32,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testSecondDegreesThrowsException,8,1,0,38,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testMinuteDegreesWithTime,6,1,0,48,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testMinuteDegreesWithMinute,4,1,0,57,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testNegativeMinuteDegrees,4,1,0,63,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testHighMinuteDegrees,4,1,0,69,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testMinuteDegreesThrowsException,8,1,0,75,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testHourDegreesWithTime,6,1,0,85,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testHourDegreesWithHours,4,1,0,94,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testNegativeHourDegrees,4,1,0,100,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testHighHourDegrees,4,1,0,106,0,,
ustwo_Clockwise,com.ustwo.clockwise,TimeUtilTest,testHourDegreesThrowsException,8,1,0,112,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion.permissions,CompanionPermissionRequestMessageHandler,CompanionPermissionRequestMessageHandler,3,1,1,27,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion.permissions,CompanionPermissionRequestMessageHandler,onMessageReceived,44,9,3,31,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion.permissions,CompanionPermissionRequestMessageHandler,getSupportedPaths,3,1,0,79,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion,CompanionService,onCreate,13,1,0,38,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion,CompanionService,onWearableAPIConnected,2,1,1,45,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion,CompanionService,onWearableAPIConnectionSuspended,2,1,1,49,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion,CompanionService,onWearableAPIConnectionFailed,2,1,1,53,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion,CompanionService,onDestroy,4,1,0,59,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion,CompanionService,onDataChanged,14,5,1,65,0,,
ustwo_Clockwise,com.ustwo.clockwise.companion,CompanionService,onMessageReceived,11,3,1,85,0,,
